State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Population_Size,Poverty,Age_19_Under,Age_19_64,Age_65_84,Age_85_and_Over,White,Black,Native_American,Asian,Hispanic
17,187,Warren,Illinois,IL,17558,1931.38,4266.594,10394.336000000001,2440.562,456.50800000000004,16943.47,351.16,35.11600000000001,122.90599999999999,790.11
17,189,Washington,Illinois,IL,14922,1074.384,3640.968,8938.277999999998,1954.782,387.97200000000004,14728.014000000001,59.688,29.844,29.844,149.22
17,191,Wayne,Illinois,IL,16796,2015.52,3913.468,9724.884,2636.972,537.4720000000001,16560.856,67.18400000000001,33.592000000000006,67.18400000000001,100.77600000000001
17,193,White,Illinois,IL,15284,1834.08,3179.072,8941.14,2567.712,596.076,15085.308,61.136,30.568,15.284,106.988
17,195,Whiteside,Illinois,IL,59863,5627.122,14846.024000000001,35019.855,8380.82,1616.3010000000002,58126.973,778.219,179.58899999999997,299.315,5627.122
17,197,Will,Illinois,IL,642813,43068.471000000005,187058.583,403686.564,45639.723,6428.13,541248.546,68780.991,1928.4389999999999,22498.455,81637.25099999999
17,199,Williamson,Illinois,IL,63617,8651.912,14504.676000000001,38679.136,8842.763,1590.425,60436.15,1972.1270000000002,190.851,381.702,1017.8720000000001
17,201,Winnebago,Illinois,IL,288695,35509.485,77081.565,174949.17,31467.755,5196.51,245390.75,31756.45,1154.78,6062.595,27426.025
17,203,Woodford,Illinois,IL,37448,2246.88,9549.24,22618.591999999997,4381.416,898.752,36811.384,187.24,37.448,187.24,374.48
18,1,Adams,Indiana,IN,33849,3351.0510000000004,10797.830999999998,18515.403000000002,3655.692,846.225,33510.51,67.69800000000001,33.849000000000004,101.54699999999998,1184.715
18,3,Allen,Indiana,IN,344006,35088.611999999994,99417.734,205715.58800000002,33024.576,5848.102,290341.064,40248.702,1376.024,6192.108,17888.311999999998
18,5,Bartholomew,Indiana,IN,73540,6103.82,19782.26,44271.08,8457.1,1103.1,69421.76,1470.8,147.08,1912.04,2500.36
18,7,Benton,Indiana,IN,9039,677.925,2503.803,5125.113,1147.953,253.09199999999998,8876.298,45.195,0.0,9.039000000000001,244.05300000000003
18,9,Blackford,Indiana,IN,13849,1274.108,3379.156,8212.457,1897.3129999999999,360.074,13641.265,27.698,55.396,27.698,83.094
18,11,Boone,Indiana,IN,52061,3019.538,14264.714,31913.392999999996,5101.978,780.915,50603.292,364.42699999999996,104.12200000000001,624.732,885.0369999999999
18,13,Brown,Indiana,IN,15154,1242.628,3394.4959999999996,9713.714,1833.634,212.15599999999998,14926.69,75.77,15.154000000000002,60.61600000000001,136.386
18,15,Carroll,Indiana,IN,20426,1531.95,5208.63,12419.008,2348.99,428.94599999999997,20262.592,61.278,20.426000000000002,20.426000000000002,755.762
18,17,Cass,Indiana,IN,40130,3892.61,10674.58,23877.35,4735.34,882.86,38845.84,642.08,200.65,240.78,4013.0
